1,176,0.023675,0.023675
2,170,0.022868,0.046543
3,166,0.022330,0.068873
4,172,0.023137,0.092010
5,161,0.021657,0.113667
6,164,0.022061,0.135728
7,166,0.022330,0.158058
8,157,0.021119,0.179177
9,137,0.018429,0.197606
10,167,0.022464,0.220070
11,167,0.022464,0.242534
12,181,0.024348,0.266882
13,177,0.023810,0.290691
14,172,0.023137,0.313828
15,165,0.022195,0.336024
16,164,0.022061,0.358084
17,180,0.024213,0.382298
18,172,0.023137,0.405434
19,160,0.021523,0.426957
20,174,0.023406,0.450363
21,164,0.022061,0.472424
22,138,0.018563,0.490987
23,144,0.019370,0.510358
24,169,0.022733,0.533091
25,154,0.020716,0.553807
26,172,0.023137,0.576944
27,182,0.024482,0.601426
28,148,0.019909,0.621334
29,148,0.019909,0.641243
30,157,0.021119,0.662362
31,168,0.022599,0.684961
32,153,0.020581,0.705542
33,177,0.023810,0.729352
34,183,0.024617,0.753968
35,166,0.022330,0.776298
36,164,0.022061,0.798359
37,168,0.022599,0.820958
38,167,0.022464,0.843422
39,173,0.023271,0.866694
40,169,0.022733,0.889427
41,147,0.019774,0.909201
42,161,0.021657,0.930858
43,182,0.024482,0.955340
44,162,0.021792,0.977132
45,170,0.022868,1.000000
